Nodo1,Nodo2,lat1,long1,lat2,long2
142840597,2380750801,-23.5958389,-46.6549856,-23.5969812,-46.6560581
142840597,1393379726,-23.5958389,-46.6549856,-23.5953987,-46.6555377
142840597,2513875329,-23.5958389,-46.6549856,-23.5956514,-46.6548095
142840598,142842350,-23.5970383,-46.6561133,-23.5970891,-46.6560083
142840598,2380750801,-23.5970383,-46.6561133,-23.5969812,-46.6560581
298288943,298292028,-23.6015358,-46.6571615,-23.6008647,-46.6580019
1393380658,1393380694,-23.5991534,-46.6514055,-23.5993146,-46.6514354
298292027,298292028,-23.6016476,-46.6587608,-23.6008647,-46.6580019
298292027,298292112,-23.6016476,-46.6587608,-23.6009544,-46.6596247
298292028,302727637,-23.6008647,-46.6580019,-23.6001726,-46.6588643
4024247137,8732206070,-23.5977112,-46.6510858,-23.5971375,-46.6558969
2513875329,142842351,-23.5956514,-46.6548095,-23.5958231,-46.6548171
298292112,302727637,-23.6009544,-46.6596247,-23.6001726,-46.6588643
1393379735,5046375342,-23.5955099,-46.6580802,-23.5956406,-46.6580267
2583653802,302727638,-23.5999026,-46.6586046,-23.6000853,-46.6587766
2583653802,142842350,-23.5999026,-46.6586046,-23.5970891,-46.6560083
2583653802,2583653816,-23.5999026,-46.6586046,-23.600224,-46.6586041
5046375342,5046375344,-23.5956406,-46.6580267,-23.5954651,-46.6574915
2583653816,302727638,-23.600224,-46.6586041,-23.6000853,-46.6587766
2380750801,2380750803,-23.5969812,-46.6560581,-23.5970272,-46.6559469
2380750803,142842350,-23.5970272,-46.6559469,-23.5970891,-46.6560083
2380750803,8732206066,-23.5970272,-46.6559469,-23.5970104,-46.6559315
302727636,302727637,-23.600067,-46.659,-23.6001726,-46.6588643
302727637,302727638,-23.6001726,-46.6588643,-23.6000853,-46.6587766
142842350,8732206070,-23.5970891,-46.6560083,-23.5971375,-46.6558969
142842351,8732206066,-23.5958231,-46.6548171,-23.5970104,-46.6559315
8732206066,8732206070,-23.5970104,-46.6559315,-23.5971375,-46.6558969
